Images,modernDoor,oldDoor,flushDoor,panelledDoor,whiteDoor,brownDoor
FlushDoor (289).png,7.933020242489874e-05,1.7541176844382278e-13,7.570689376734663e-06,0.9999113082885742,5.0955399621965825e-11,1.778711748556816e-06
FlushDoor (29).png,3.8756448050847325e-10,5.5763771378281035e-09,2.44341947563953e-07,8.759915363043547e-05,1.1911134005385213e-15,0.9999121427536011
FlushDoor (291).png,0.25465285778045654,5.644545941763113e-10,0.15246443450450897,0.04692812263965607,1.4130658598787704e-07,0.5459544658660889
FlushDoor (292).png,4.175830078316338e-16,7.104627017344965e-16,4.2753928455656706e-17,1.0559510594346746e-18,1.0,8.133491167898466e-13
FlushDoor (293).png,5.286004579829751e-06,2.2856487703393213e-05,0.10210694372653961,0.005860486999154091,2.9793397970934166e-07,0.8920040726661682
FlushDoor (294).png,0.2822535037994385,1.1104447359126907e-20,0.06777753680944443,1.6080237585924806e-08,0.6498417854309082,0.00012720347149297595
FlushDoor (295).png,9.622941433917731e-05,0.009892350994050503,3.232453536838875e-06,0.00011529813491506502,7.918855602779413e-18,0.9898928999900818
FlushDoor (297).png,0.0001705519389361143,3.32223186057875e-19,3.76353881392788e-09,1.241411063979429e-15,0.9998294115066528,1.14466625067422e-09
FlushDoor (3).png,0.00017911172471940517,6.65509887198823e-08,0.9928253889083862,0.0002284869406139478,1.6952434123140847e-07,0.006766807287931442
FlushDoor (30).png,0.32355374097824097,1.862792906037747e-12,0.676446259021759,3.905737211820951e-16,9.358902541833913e-10,1.2195382380615996e-15
FlushDoor (305).png,5.356282173352156e-08,4.061379596347059e-13,7.847494316592929e-07,4.519043993178595e-12,0.9999599456787109,3.925523196812719e-05
FlushDoor (308).png,4.767960035678698e-07,2.925505671047546e-11,0.0002623866603244096,0.9987247586250305,1.1080645949401724e-12,0.0010123903630301356
FlushDoor (309).png,0.17087003588676453,9.945624697138555e-06,3.1282985446523526e-07,0.011951647698879242,1.862918100895483e-15,0.8171679973602295
FlushDoor (310).png,8.664133019919973e-06,3.999126724218982e-11,1.969694629622154e-09,0.4177502691745758,1.876687250046416e-09,0.5822410583496094
FlushDoor (312).png,1.0,3.877469075393115e-15,7.051350059406047e-10,1.8047835025109406e-19,7.508767506424555e-15,2.662910649907542e-15
FlushDoor (313).png,0.9903382658958435,1.3464548486580297e-12,0.009533358737826347,2.0085356112040282e-16,2.9566526791313663e-05,9.877253614831716e-05
FlushDoor (316).png,0.9958088397979736,3.317299776886551e-13,6.301986155143879e-10,2.0506148845346418e-15,0.00011701110634021461,0.004074116703122854
